"Variable","Adjusted RR","P-value","AIC","Moran's I","Moran's I p-value","Overdispersion"
"Sulfuryl fluoride (Vikane)",0.903276804995344,0.250708972064106,3857.00389011085,NA,NA,0.145
"Propylene oxide",1.05437466038453,0.251827467279609,3857.48073175526,NA,NA,0.146
"Carbon tetrachloride",1.04417467203737,0.253375006665536,3857.69678021164,NA,NA,0.148
"Toxaphene",1.05788880410516,0.254222964793647,3857.29324271771,NA,NA,0.146
"Propionaldehyde",1.04142502170768,0.257151818675223,3857.75705457382,NA,NA,0.146
"Barium compounds",0.906929780859909,0.260012681315247,3856.98780881139,NA,NA,0.146
"Diethanolamine",1.0648098183502,0.260438715903303,3857.41839328729,NA,NA,0.146
"Methyl iodide",1.0402099915277,0.262321827767508,3857.80926039301,NA,NA,0.145
"1,1,2-Trichloroethane",1.0509130411474,0.263822195911629,3857.58337456345,NA,NA,0.145
"Strychnine and salts",1.04617285005016,0.266975606522591,3857.94314107501,NA,NA,0.145
"5-Nitro-o-toluidine",0.785002454366814,0.267543970069782,3855.5571500988,NA,NA,0.146
"Hydrogen cyanide",1.06278610431377,0.26908377652548,3857.26980217501,NA,NA,0.146
"Phenol",1.06287853918817,0.272912101232232,3857.55747049805,NA,NA,0.147
"1,2-Diphenylhydrazine",1.04671332040947,0.274039148584698,3857.71729560454,NA,NA,0.147
"Diaminotoluene (mixed isomers)",1.04603188510424,0.27552406959891,3857.6690378035,NA,NA,0.146
"Imazalil",1.04043025212394,0.275693786649257,3857.45004810767,NA,NA,0.145
"1,2-Phenylenediamine",1.03766330547044,0.278197268717184,3857.61866816092,NA,NA,0.147
"Aldicarb",1.05039144888555,0.278270027019734,3857.6638325821,NA,NA,0.147
"Mercury",1.04175815400736,0.278736759263363,3857.65820901029,NA,NA,0.146
"Zineb",1.04350347971807,0.280517029198791,3857.84252438024,NA,NA,0.146
"Benzoyl peroxide",0.786645827024563,0.282293883813097,3856.01992289984,NA,NA,0.148
"Chlordane",1.05403619848901,0.28314951625625,3857.61042425631,NA,NA,0.145
"Polychlorinated alkanes",1.03475859369422,0.290962209029677,3857.6158944841,NA,NA,0.146
"N,N-Dimethylaniline",1.03916810790411,0.291453780962257,3857.93289860082,NA,NA,0.147
"Auramine",1.04321840173181,0.291948637967197,3857.94327903996,NA,NA,0.145
"Parathion",1.15385359679722,0.292167877918513,3857.75986458661,NA,NA,0.146
"Dioxane",1.05067890096869,0.29266021538538,3857.5857755778,NA,NA,0.145
"N-methylolacrylamide",1.05120002928637,0.301955450845363,3857.36335639236,NA,NA,0.146
"3,3'-Dimethylbenzidine",1.04233105339032,0.302769224996766,3857.79848579792,NA,NA,0.146
"1,1,2,2-Tetrachloroethane",1.04751906373696,0.302904303355971,3857.73058021918,NA,NA,0.145
"Decabromodiphenyl ether",1.04499944532932,0.307833264553727,3857.97694677026,NA,NA,0.146
"p-Chloroaniline",0.8606649774384,0.314098536955847,3856.53619868919,NA,NA,0.148
"Pentachloroethane",1.04500742342419,0.321188670027383,3857.82703223194,NA,NA,0.147
"p-Phenylenediamine",1.03240490346933,0.322098942708837,3858.14161207864,NA,NA,0.146
"Lead compounds",0.906845842429294,0.322120369247629,3857.28166237383,NA,NA,0.146
"Styrene oxide",1.04207554743451,0.323286315817655,3857.623868729,NA,NA,0.147
"Methylene bromide",5.38001798913606e-190,0.323397345442438,3851.94611454831,NA,NA,0.147
"Benzoyl chloride",0.900731379499783,0.323933480224667,3856.94957095977,NA,NA,0.146
"Acrylic acid",1.04414273913313,0.326311246206048,3857.62435862358,NA,NA,0.146
"Chlorsulfuron",1.04573697916355,0.32858188335353,3857.58333252849,NA,NA,0.147
"Aldrin",1.04702164998885,0.335993320455869,3857.7399343453,NA,NA,0.146
"MIXTURE",0.852330791834338,0.337305568005831,3856.44566519194,NA,NA,0.147
"Dazomet",0.842078451839037,0.341769797760023,3856.66958802687,NA,NA,0.146
"Anthracene",1.04970048341384,0.343302871851062,3857.72290321994,NA,NA,0.148
"Cadmium compounds",0.714012319537882,0.344546791279164,3857.63814945413,NA,NA,0.147
"o-Xylene",1.03479945919955,0.346477315304642,3857.97848592883,NA,NA,0.147
"2,4-Diaminotoluene",1.04419254276499,0.350055234950761,3857.64528578422,NA,NA,0.147
"Chlorothalonil",1.04335030320779,0.350292384090172,3857.71483057047,NA,NA,0.146
"o-Toluidine",1.04380475642616,0.350404362958588,3857.78584535733,NA,NA,0.146
